Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-09-06,0.28220501525689784,0.28220501525689784,0.27338586347322225,0.27426770329475403,143449600,0.0,0.0
1988-09-07,0.27514956108345234,0.2786776977173344,0.2663312329393343,0.26985856890678406,179110400,0.0,0.0
1988-09-08,0.2698584816921992,0.27867760765252825,0.266331146864736,0.27338579297065735,207256000,0.0,0.0
1988-09-09,0.27338577931375824,0.2892595741360433,0.2663311335602495,0.285732239484787,234673600,0.0,0.0
1988-09-12,0.28925955295562744,0.2945513669856656,0.2830867236551721,0.28925955295562744,148030400,0.0,0.0
1988-09-13,0.2839685631406664,0.29102403259269083,0.2822049077186801,0.28925955295562744,119683200,0.0,0.0
1988-09-14,0.294551507112935,0.2989606595399721,0.2927878273029094,0.29631516337394714,238571200,0.0,0.0
1988-09-15,0.29631516701880234,0.30160615941593466,0.29278783090437627,0.2936696708202362,165760000,0.0,0.0
1988-09-16,0.29278769603894833,0.3016060204885631,0.29190585652928597,0.2980786859989166,123760000,0.0,0.0
1988-09-19,0.29631520786784865,0.29807886439368675,0.29102421474131734,0.2945515513420105,92131200,0.0,0.0
1988-09-20,0.294551409921894,0.2980787212800364,0.2919058910797787,0.29278773069381714,102681600,0.0,0.0
1988-09-21,0.29455144184681675,0.3033705689622357,0.29278776242758375,0.30160608887672424,91347200,0.0,0.0
1988-09-22,0.3033706912555592,0.310425341129303,0.30160621045875885,0.310425341129303,145667200,0.0,0.0
1988-09-23,0.30689795373349393,0.31218894574625433,0.30689795373349393,0.3086616098880768,101483200,0.0,0.0
1988-09-26,0.3086615601219183,0.3104252159921432,0.29984243300649943,0.30160608887672424,87035200,0.0,0.0
1988-09-27,0.29984248473374575,0.30689795719611274,0.29984248473374575,0.30601611733436584,162982400,0.0,0.0
1988-09-28,0.30689793825149536,0.31130709019003105,0.30513425863687244,0.30689793825149536,84694400,0.0,0.0
1988-09-29,0.30866168454812143,0.31218902125950215,0.30689802796693993,0.310425341129303,106075200,0.0,0.0
1988-09-30,0.31042519786091716,0.31042519786091716,0.30513420701026917,0.30513420701026917,92892800,0.0,0.0
1988-10-03,0.3033706434693483,0.30513429977272294,0.29631517049134676,0.29984250664711,90776000,0.0,0.0
1988-10-04,0.2980787212800364,0.3016060561871844,0.29014223540070755,0.29278773069381714,51654400,0.0,0.0
